file_name	workflow	status	URL
LG60FAVA_2_1_071816.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=9596f1bbecfd4f9791f6d31f12f8d5cf
LG60FAVA_2_2_071816.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=ecd77a25bada4fdbb5a9705e733b4620
LG60FAVA_4_1_071816.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=3fc9f3306c0548ffa93648873b56a537
LG60FAVA_4_2_071816.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=7a6000f70c8149e7b7722bff74130030
LGFB1_95D_101916.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=ca93e148c1d148a09fe592d8ee2e6c23
LGFB2_95D_101916.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=328bd79c633f411395aec2ed806221e1
LGFB3_95D_101916.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=47dd9e9dcb4c4186af8b7ccca593f5d9
LGFB4_95D_101916.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=5914c708bcfa4c4e9d048a54de91547f
LGFN_L_100MeOH_080916.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=56dc3a7271f542dd8c0ffe882b365d99
LGFN_S_100MeOH_080916.mgf	SEARCH	DONE	https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=53bc5bc010b4488f832dc029a2058118
